CMDLINE c:\users\zengg\appdata\local\programs\python\python37-32\python.exe main.py
MEM 128.964844 1591676600.3540
MEM 128.964844 1591676600.4548
MEM 128.964844 1591676600.5556
MEM 128.964844 1591676600.6562
MEM 128.964844 1591676600.7570
MEM 128.964844 1591676600.8574
MEM 128.964844 1591676600.9582
MEM 128.964844 1591676601.0589
MEM 128.964844 1591676601.1596
MEM 128.964844 1591676601.2603
MEM 128.964844 1591676601.3611
MEM 128.964844 1591676601.4618
MEM 128.964844 1591676601.5625
MEM 128.964844 1591676601.6633
MEM 128.964844 1591676601.7640
MEM 128.964844 1591676601.8644
MEM 128.964844 1591676601.9651
MEM 128.964844 1591676602.0658
MEM 128.968750 1591676602.1666
MEM 128.968750 1591676602.2673
MEM 128.968750 1591676602.3680
MEM 128.968750 1591676602.4687
MEM 128.968750 1591676602.5695
MEM 128.968750 1591676602.6702
MEM 128.968750 1591676602.7709
MEM 128.968750 1591676602.8714
MEM 128.968750 1591676602.9722
MEM 128.968750 1591676603.0729
MEM 128.968750 1591676603.1736
MEM 128.968750 1591676603.2744
MEM 128.968750 1591676603.3751
MEM 121.027344 1591676603.4758
MEM 121.105469 1591676603.5766
MEM 121.109375 1591676603.6773
MEM 121.171875 1591676603.7780
MEM 121.390625 1591676603.8785
MEM 121.554688 1591676603.9792
MEM 121.734375 1591676604.0799
MEM 121.976562 1591676604.1807
MEM 122.125000 1591676604.2814
MEM 122.261719 1591676604.3821
MEM 122.406250 1591676604.4828
MEM 122.628906 1591676604.5836
MEM 122.804688 1591676604.6843
MEM 122.960938 1591676604.7850
MEM 123.121094 1591676604.8855
MEM 123.269531 1591676604.9863
MEM 123.484375 1591676605.0870
MEM 123.593750 1591676605.1877
MEM 123.785156 1591676605.2885
MEM 124.003906 1591676605.3892
MEM 124.132812 1591676605.4899
MEM 124.285156 1591676605.5906
MEM 124.402344 1591676605.6914
MEM 124.515625 1591676605.7921
MEM 124.660156 1591676605.8928
MEM 124.890625 1591676605.9936
MEM 124.960938 1591676606.0943
MEM 124.960938 1591676606.1950
MEM 128.113281 1591676606.2957
MEM 128.121094 1591676606.3965
MEM 128.128906 1591676606.4972
MEM 128.132812 1591676606.5979
MEM 128.140625 1591676606.6987
MEM 128.199219 1591676606.7994
MEM 128.402344 1591676606.8998
MEM 128.519531 1591676607.0006
MEM 128.648438 1591676607.1013
MEM 128.738281 1591676607.2020
MEM 128.816406 1591676607.3028
MEM 128.957031 1591676607.4035
MEM 129.101562 1591676607.5042
MEM 129.136719 1591676607.6050
MEM 129.152344 1591676607.7057
MEM 129.195312 1591676607.8064
MEM 129.273438 1591676607.9069
MEM 129.390625 1591676608.0076
MEM 129.484375 1591676608.1084
MEM 129.570312 1591676608.2091
MEM 129.679688 1591676608.3098
MEM 129.742188 1591676608.4105
MEM 129.804688 1591676608.5112
MEM 129.839844 1591676608.6151
MEM 129.875000 1591676608.7244
MEM 130.734375 1591676608.8340
MEM 130.742188 1591676608.9347
MEM 130.750000 1591676609.0355
